ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WP5115	Network map of SARS CoV 2 signaling pathway	55/679	218/8435	0.00000000000000592466484549477	0.00000000000264832518593616	0.0000000000020518049833345	10344/64386/5743/2920/8542/3091/5054/6347/4939/3458/3605/1294/3552/6364/6772/8807/335/6372/3553/5199/341/59272/684/6289/183/3569/3586/838/10964/4283/10410/84985/715/1234/3699/114548/3577/2921/6374/5196/2919/3627/3726/116844/6356/1051/6288/6403/3579/8519/3426/7124/629/6351/6348	55
WP5095	Overview of proinflammatory and profibrotic mediators	40/679	129/8435	0.0000000000000218363704721833	0.00000000000488042880053297	0.000000000003781139939657	10344/2920/3589/5008/4318/6361/1440/6347/51561/3458/3605/3552/6364/6696/6372/3553/6370/3569/3586/3557/4283/29949/4314/11009/2921/6374/5196/2919/1437/3627/6373/6356/6357/284340/4312/7124/6351/6362/9560/6348	40
WP5055	Burn wound healing	25/679	75/8435	0.000000000316172480477586	0.0000000426557561098365	0.0000000330477893798098	3082/3371/4313/3383/7042/4318/7076/6347/1277/5159/7043/3624/2162/3553/3569/6423/6282/6280/2919/1278/2200/3579/4312/3853/7124	25
WP2882	Nuclear receptors meta pathway	59/679	314/8435	0.000000000381706989797195	0.0000000426557561098365	0.0000000330477893798098	9971/3082/330/1244/6515/4199/5743/5243/7042/3589/6319/6527/27286/8140/6822/6532/6347/345/3458/1839/6364/200010/335/5552/3553/1907/8431/8553/9982/1545/64240/1559/9970/64241/2040/159963/23657/115584/874/11182/1576/1551/6514/6286/1557/51129/5272/3726/7364/340024/7056/5142/23764/1555/7124/2938/2939/54657/11254	59
WP5039	SARS CoV 2 innate immunity evasion and cell specific immune response	23/679	66/8435	0.000000000596222998094422	0.0000000527229888389554	0.0000000408474351301456	2920/3902/6347/6772/3433/6372/59272/3569/3586/4283/2921/6374/5196/2919/1437/3627/6373/3579/8519/284340/7124/6351/6348	23
WP619	Type II interferon signaling	17/679	37/8435	0.000000000707691125355106	0.0000000527229888389554	0.0000000408474351301456	4843/6688/3383/3458/6772/2633/3433/3659/3553/4283/6890/3627/4261/9021/8651/9636/5698	17
WP3624	Lung fibrosis	22/679	64/8435	0.00000000190698947585518	0.000000121774899386752	0.0000000943457951212564	3082/2920/4313/1215/4318/7076/1440/6347/6696/5328/3553/3569/2252/57105/1437/26585/6356/1051/1232/7124/6351/6348	22
WP2806	Complement system	27/679	95/8435	0.00000000342388044150356	0.000000191309319669012	0.000000148217982270352	6401/5329/2769/2219/3383/958/335/6696/722/2162/22918/5199/5648/27202/7097/133/710/717/2357/6403/6402/1604/728/2214/3426/629/720	27
WP5088	Prostaglandin signaling	15/679	33/8435	0.00000000873200436836819	0.00000043368955029562	0.000000336003442946566	4318/6347/3458/3605/3552/3553/3569/834/4283/9536/114548/2919/3627/7124/6348	15
WP2865	IL1 and megakaryocytes in obesity	13/679	25/8435	0.0000000111761024396591	0.000000499571779052761	0.00000038704607396293	3383/4318/7076/6347/3458/1839/3553/7097/7941/114548/6280/2205/1232	13
WP5285	Immune infiltration in pancreatic cancer	16/679	39/8435	0.0000000169925585106502	0.000000690515786750968	0.00000053498102870851	7042/4318/6347/51561/3458/3605/6364/7043/3553/83998/3569/3586/6374/2919/1437/7124	16
WP2328	Allograft rejection	25/679	90/8435	0.0000000218069786001563	0.000000806900512105715	0.000000625150755876087	50943/5243/3002/958/3458/3605/3552/6772/10578/941/3553/3559/3586/4283/1493/717/6373/3119/5551/120892/1604/3134/721/7124/720	25
WP3617	Photodynamic therapy induced NF kB survival signaling	15/679	35/8435	0.000000023466905273768	0.000000806900512105715	0.000000625150755876087	6401/330/5743/2920/4313/3383/4318/3552/3553/3569/597/4314/1437/4312/7124	15
WP5078	T cell modulation in pancreatic cancer	17/679	46/8435	0.0000000389788968949262	0.00000118485256919311	0.000000917971259306569	3604/2191/7042/958/6361/5228/7043/29126/941/8744/3620/3569/3586/1493/29851/7293/80380	17
WP691	Tamoxifen metabolism	12/679	23/8435	0.000000039760153328628	0.00000118485256919311	0.000000917971259306569	2328/2326/1565/6822/6783/1545/1559/1558/1576/1557/7364/54657	12
WP5198	Inflammatory bowel disease signaling	16/679	43/8435	0.0000000879474483431466	0.00000245703183808666	0.00000190359937532206	50943/30009/3595/3594/50615/51561/3458/3552/6772/8807/3569/3586/7097/64127/4094/7124	16
WP129	Matrix metalloproteinases	13/679	30/8435	0.000000176093401450574	0.00000463022061461215	0.00000358728972614482	64386/4313/4318/7076/4327/10893/4316/4322/4314/4319/4312/7124/4321	13
WP2877	Vitamin D receptor pathway	35/679	187/8435	0.00000174967075279249	0.0000434501570276803	0.0000336632560040193	240/639/634/5243/7042/1565/3091/958/412/6822/768/1594/3488/6696/50486/54210/79689/838/1559/6279/10568/875/1576/6280/248/1493/168002/4982/5653/6699/3726/1673/7056/6273/1555	35
WP530	Cytokines and inflammatory response	11/679	26/8435	0.00000213359353452185	0.0000501955952595403	0.0000388893225959938	2920/3589/1440/3458/3552/3553/3569/3586/2919/1437/7124	11
WP1533	Vitamin B12 metabolism	16/679	55/8435	0.00000394135752885104	0.0000880893407698207	0.0000682477172101048	338/3383/5054/8029/6347/3458/6648/335/3553/3949/6289/6947/3569/875/6288/7124	16
WP5218	Extrafollicular and follicular B cell activation by SARS CoV 2	19/679	76/8435	0.00000604080065488127	0.000128582756796758	0.0000996202213261122	57823/639/30009/958/3458/3433/941/3569/3586/3687/83416/3689/29851/4094/8519/9636/6402/7124/720	19
WP4494	Selective expression of chemokine receptors during T cell polarization	11/679	29/8435	0.00000763238568033433	0.00015507619995952	0.000120146166929665	3595/7042/3594/3458/7043/1234/1230/1437/1232/6351/6348	11
WP5146	Lung pathology of COVID 19	9/679	20/8435	0.0000100590985237976	0.000191266131229295	0.000148184521781321	51311/6347/3553/3569/4283/1437/3627/6373/7124	9
WP5090	Complement system in neuronal development and plasticity	23/679	107/8435	0.0000102693224821098	0.000191266131229295	0.000148184521781321	843/2219/7042/3458/7043/722/725/5199/5648/27202/3687/8547/710/715/3689/717/10584/1604/728/3426/721/629/720	23
WP15	Selenium micronutrient network	20/679	87/8435	0.000013525239332858	0.0002418312792715	0.000187360157495169	240/5743/338/3383/5054/6347/3458/6648/8942/8564/335/3553/3949/6289/3569/7498/875/6288/1734/7124	20
WP5347	IL 26 signaling pathways	14/679	48/8435	0.0000153242776823118	0.000253701930518274	0.000196557011987547	3383/4318/3605/6364/6772/3553/3569/3586/1513/1437/1673/9021/4312/7124	14
WP5390	Pancreatic cancer subtypes	14/679	48/8435	0.0000153242776823118	0.000253701930518274	0.000196557011987547	6317/4680/27290/83998/3855/9982/84985/7031/1551/8581/6699/6273/3853/6318	14
WP4341	Non genomic actions of 1 25 dihydroxyvitamin D3	18/679	75/8435	0.0000194186568033619	0.000310004985396527	0.000240178123620528	958/51311/6347/1594/4939/3458/6772/91543/3569/7097/10964/6258/64127/1673/5600/9636/6300/7124	18
WP2876	Pregnane X receptor pathway	11/679	32/8435	0.0000227472518528909	0.000350621433732491	0.000271645947716919	1244/5243/27286/6822/1559/1576/1551/1557/1555/2939/54657	11
WP2880	Glucocorticoid receptor pathway	17/679	70/8435	0.000027932092958055	0.000416188185075019	0.000322444160814038	330/5743/3589/6347/6364/5552/1907/8553/9982/9970/2040/6286/51129/5272/7056/5142/8972	17
WP5092	Interactions of natural killer cells in pancreatic cancer	10/679	28/8435	0.0000368612738319363	0.000531515787189532	0.00041179487574557	3002/6347/3458/1437/5551/2214/4277/7124/6351/6348	10
WP5283	Chronic hyperglycemia impairment of neuron function	13/679	46/8435	0.000044647287413138	0.000623666796052271	0.000483189393385605	4843/64386/6515/4313/4318/4327/10893/4316/4322/4314/4319/4312/4321	13
WP2875	Constitutive androstane receptor pathway	10/679	31/8435	0.0000997713424243997	0.00131169970775608	0.00101624680054574	1244/5243/6822/1559/9970/1576/1557/1555/2939/54657	10
WP430	Statin inhibition of cholesterol production	10/679	31/8435	0.0000997713424243997	0.00131169970775608	0.00101624680054574	338/6713/337/345/335/3949/341/64240/4547/64241	10
WP5353	Macrophage stimulating protein MSP signaling	21/679	108/8435	0.00011683474890104	0.00149214665025042	0.00115604909438924	2920/4318/1440/6347/5159/1846/3553/8431/3569/3586/3099/9076/6374/2919/1437/3627/7480/9021/8651/1282/7124	21
WP5113	Antiviral and anti inflammatory effects of Nrf2 on SARS CoV 2 pathway	10/679	32/8435	0.000134782292684176	0.00167354680082852	0.00129658989161093	6347/3553/59272/3569/5593/4314/23657/4312/7124/2939	10
WP702	Metapathway biotransformation Phase I and II	30/679	184/8435	0.000142352907583781	0.0017197770186473	0.0013324070155068	56603/2328/2326/2327/1565/6822/1562/6783/1594/9469/79799/1545/1559/1558/9027/1576/1551/1557/4837/92292/7364/50515/9420/9435/8529/260293/1555/2938/2939/54657	30
WP558	Complement and coagulation cascades	14/679	58/8435	0.000151323876329874	0.00178004665051194	0.0013791012551947	5329/5054/7450/5328/5648/710/715/717/7056/1604/728/3426/721/629	14
